Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,05/01/2017,"Online Payment 6188020622 To DOMINION HOPE 05/01",-83.25,BILLPAY,717.58,,
DEBIT,05/01/2017,"Online Payment 6188020637 To MONONGAHELA POWER 05/01",-186.93,BILLPAY,800.83,,
DEBIT,05/01/2017,"Payment to Chase card ending in 2079 05/01",-25.00,ACCT_XFER,987.76,,
DEBIT,05/01/2017,"OLLIES BARGAIN OUTLET PARKERSBURG WV 940004  04/30",-9.18,DEBIT_CARD,1012.76,,
DEBIT,05/01/2017,"FAMILY DOLLAR #0715 PARKERSBURG WV           04/30",-3.00,DEBIT_CARD,1021.94,,
DEBIT,05/01/2017,"GOODWILL KV VIENNA 3 VIENNA WV       427862  04/30",-6.93,DEBIT_CARD,1024.94,,
DEBIT,05/01/2017,"1875 Great Clips at Ma PARKERSBURG WV        04/29",-6.50,DEBIT_CARD,1031.87,,
DEBIT,05/01/2017,"GREAT AMERICAN COOKIE VIENNA WV              04/29",-4.15,DEBIT_CARD,1038.37,,
DEBIT,05/01/2017,"THE CHILDRENS PLACE 42 PARKERSBURG WV        04/29",-51.31,DEBIT_CARD,1042.52,,
DEBIT,05/01/2017,"BATH & BODY WORKS 0519 PARKERSBURG WV539059  04/29",-25.68,DEBIT_CARD,1093.83,,
DEBIT,05/01/2017,"GIHON VILLAGE FOODLAND PARKERSBURG WV694405  04/29",-5.06,DEBIT_CARD,1119.51,,
DEBIT,05/01/2017,"GIHON VILLAGE FOODLAND PARKERSBURG WV376707  04/29",-13.99,DEBIT_CARD,1124.57,,
DEBIT,05/01/2017,"BURGER KING #2692 VIENNA WV                  04/27",-7.68,DEBIT_CARD,1138.56,,
DEBIT,04/27/2017,"Online Transfer 6179774179 to One Community FCU ####9000 transaction #: 6179774179 04/27",-350.00,ACCT_XFER,1146.24,,
DEBIT,04/27/2017,"JOANN FABRIC #0363 PARKERSBURG WV            04/26",-27.76,DEBIT_CARD,1496.24,,
DEBIT,04/27/2017,"MCDONALD'S F3615 PARKERSBURG WV              04/26",-4.92,DEBIT_CARD,1524.00,,
DEBIT,04/27/2017,"PAYPAL *NETFLIX.COM 402-935-7733 CA          04/26",-9.99,DEBIT_CARD,1528.92,,
DEBIT,04/26/2017,"Lowes CC         LWS EPAY   1300175084      WEB ID: 9069872103",-27.00,ACH_DEBIT,1538.91,,
DEBIT,04/26/2017,"DOLLAR TR 220 GIHON VL PARKERSBURG WV        04/26",-10.42,DEBIT_CARD,1565.91,,
DEBIT,04/26/2017,"OLLIES BARGAIN OUTLET PARKERSBURG WV 993721  04/26",-25.08,DEBIT_CARD,1576.33,,
DEBIT,04/26/2017,"MCDONALD'S F2921 LANCASTER OH                04/25",-2.26,DEBIT_CARD,1601.41,,
DEBIT,04/26/2017,"MCDONALD'S F35411 CAMBRIDGE OH               04/25",-9.88,DEBIT_CARD,1603.67,,
DEBIT,04/25/2017,"TARGET T- 1300 River V LANCASTER OH          04/25",-3.70,DEBIT_CARD,1613.55,,
DEBIT,04/25/2017,"HOBBYLOBBY 1428 RIVER LANCASTER OH   614768  04/25",-32.49,DEBIT_CARD,1617.25,,
DEBIT,04/24/2017,"THE HOME DEPOT #4803 VIENNA WV       964182  04/24",-271.75,DEBIT_CARD,1649.74,,
DEBIT,04/24/2017,"WM SUPERC Wal-Mart S PARKERSBURG ( WV        04/24",-103.81,DEBIT_CARD,1921.49,,
DEBIT,04/24/2017,"SAMS CLUB SAM'S Club VIENNA WV               04/24",-85.21,DEBIT_CARD,2025.30,,
DEBIT,04/24/2017,"THE HOME DEPOT #4803 VIENNA WV       254688  04/24",-21.37,DEBIT_CARD,2110.51,,
DEBIT,04/24/2017,"GREAT AMERICAN COOKIE VIENNA WV              04/22",-6.19,DEBIT_CARD,2131.88,,
DEBIT,04/24/2017,"SLING.COM 888-393-6312 CO                    04/21",-24.99,DEBIT_CARD,2138.07,,
CREDIT,04/24/2017,"AGRI TREAS 310     FED SAL                  PPD ID: 9101036009",2125.60,ACH_CREDIT,2163.06,,
DEBIT,04/21/2017,"TARGET T- 30 Rhl Blvd CHARLESTON WV          04/21",-5.56,DEBIT_CARD,37.46,,
DEBIT,04/21/2017,"CRICUT 877-343-2881 UT                       04/19",-9.99,DEBIT_CARD,43.02,,
DEBIT,04/21/2017,"CBS ALL ACCESS 888-274-5343 CA               04/19",-9.99,DEBIT_CARD,53.01,,
DEBIT,04/19/2017,"Wal-Mart Super Center VIENNA WV              04/19",-10.35,DEBIT_CARD,63.00,,
DEBIT,04/19/2017,"DICARLO'S PIZZA PARKERSBURG WV               04/19",-23.72,DEBIT_CARD,73.35,,
DEBIT,04/18/2017,"WM SUPERC Wal-Mart S PARKERSBURG ( WV        04/18",-46.91,DEBIT_CARD,97.07,,
DEBIT,04/18/2017,"MCDONALD'S F3615 PARKERSBURG WV              04/17",-2.24,DEBIT_CARD,143.98,,
DEBIT,04/17/2017,"MOTORISTS INSURA INS PREM                   PPD ID: 1314259550",-227.01,ACH_DEBIT,146.22,,
DEBIT,04/17/2017,"Wal-Mart Super Cente PARKERSBURG ( WV        04/15",-14.47,DEBIT_CARD,373.23,,
DEBIT,04/17/2017,"STEAK N SHAKE 5701 VIENNA WV                 04/14",-24.36,DEBIT_CARD,387.70,,
DEBIT,04/14/2017,"GOODWILL KV VIENNA 3 VIENNA WV       120820  04/14",-3.20,DEBIT_CARD,412.06,,
DEBIT,04/14/2017,"BLIZZARD ENT*WOW SUB BLIZZARD.COM CA         04/13",-14.99,DEBIT_CARD,415.26,,
DEBIT,04/13/2017,"HLU*Hulu 42716429-U HULU.COM/BILL CA         04/12",-20.98,DEBIT_CARD,430.25,,
DEBIT,04/12/2017,"KOHL'S DEPT STRS CHG PYMT   043000096361190 WEB ID: 9044021343",-27.00,ACH_DEBIT,451.23,,
DEBIT,04/12/2017,"WalMart CC       WM EPAY    1290859245      WEB ID: 9069872103",-35.00,ACH_DEBIT,478.23,,
DEBIT,04/12/2017,"CAPITAL ONE AUTO CARPAY     006207526344001 WEB ID: 9541719806",-312.62,ACH_DEBIT,513.23,,
DEBIT,04/12/2017,"SONIC DRIVE IN #5849 PARKERSBURG WV          04/11",-5.11,DEBIT_CARD,825.85,,
DEBIT,04/12/2017,"DICARLO'S PIZZA PARKERSBURG WV               04/12",-21.38,DEBIT_CARD,830.96,,
DEBIT,04/11/2017,"CAPITAL ONE      ONLINE PMT 710139919303266 WEB ID: 9279744991",-25.00,ACH_DEBIT,852.34,,
DEBIT,04/11/2017,"PAYMENT FOR AMZ  STORECARD  1290504936      WEB ID: 9069872103",-74.00,ACH_DEBIT,877.34,,
DEBIT,04/11/2017,"Online Payment 6142562438 To City of Parkersburg 04/11",-24.04,BILLPAY,951.34,,
DEBIT,04/11/2017,"Online Payment 6142562430 To PARKERSBURG UTILITY WV 04/11",-103.04,BILLPAY,975.38,,
DEBIT,04/10/2017,"CAPITAL ONE      ONLINE PMT 710039919396091 WEB ID: 9279744991",-48.00,ACH_DEBIT,1078.42,,
DEBIT,04/10/2017,"BARCLAYCARD US   CREDITCARD 446977133       WEB ID: 2510407970",-68.70,ACH_DEBIT,1126.42,,
DEBIT,04/10/2017,"GIHON VILLAGE FOODLAND PARKERSBURG WV997685  04/10",-11.15,DEBIT_CARD,1195.12,,
DEBIT,04/10/2017,"USPS PO 55621004 806 N PARKERSBURG WV857026  04/10",-9.80,DEBIT_CARD,1206.27,,
DEBIT,04/10/2017,"BLIZZARD ENT*WOW SUB BLIZZARD.COM CA         04/10",-14.99,DEBIT_CARD,1216.07,,
DEBIT,04/10/2017,"Wal-Mart Super Cente PARKERSBURG ( WV        04/09",-35.15,DEBIT_CARD,1231.06,,
DEBIT,04/10/2017,"Payment to Chase card ending in 7433 04/10",-96.00,ACCT_XFER,1266.21,,
DEBIT,04/10/2017,"Wal-Mart Super Cente PARKERSBURG ( WV        04/08",-48.63,DEBIT_CARD,1362.21,,
DEBIT,04/10/2017,"DON EMILIOS RESTAURANT PARKERSBURG WV        04/08",-21.39,DEBIT_CARD,1410.84,,
DEBIT,04/10/2017,"Online Transfer 6136814022 to One Community FCU ####9000 transaction #: 6136814022 04/10",-415.00,ACCT_XFER,1432.23,,
CREDIT,04/10/2017,"AGRI TREAS 310     FED SAL                  PPD ID: 9101036009",415.66,ACH_CREDIT,1847.23,,
CREDIT,04/10/2017,"AGRI TREAS 310     FED SAL                  PPD ID: 9101036009",1370.59,ACH_CREDIT,1431.57,,
DEBIT,04/06/2017,"SCHOOLCAFE 866-4426030 TX                    04/05",-54.81,DEBIT_CARD,60.98,,
DEBIT,04/04/2017,"GIHON VILLAGE F PARKERSBURG WV               04/04",-11.98,DEBIT_CARD,115.79,,
DEBIT,04/04/2017,"GIHON VILLAGE F PARKERSBURG WV               04/04",-10.68,DEBIT_CARD,127.77,,
DEBIT,04/03/2017,"CABELAS VISA     PAYMENTS                   WEB ID: 2470839081",-73.00,ACH_DEBIT,138.45,,
DEBIT,04/03/2017,"GIHON VILLAGE F PARKERSBURG WV               04/02",-12.12,DEBIT_CARD,211.45,,
DEBIT,04/03/2017,"CVS/PHARM 06276--220 G PARKERSBURG WV        04/01",-11.35,DEBIT_CARD,223.57,,
DEBIT,04/03/2017,"ARBYS 8317 PARKERSBURG WV                    04/01",-17.18,DEBIT_CARD,234.92,,
DEBIT,04/03/2017,"Wal-Mart Super Cente PARKERSBURG ( WV        04/01",-25.72,DEBIT_CARD,252.10,,
DEBIT,03/31/2017,"TRACFONE    *AIRTIME TRACFONE.COM FL         03/31",-10.86,DEBIT_CARD,277.82,,
DEBIT,03/31/2017,"TRACFONE    *AIRTIME TRACFONE.COM FL         03/31",-15.00,DEBIT_CARD,288.68,,
DEBIT,03/30/2017,"RITE AID STORE - 1405 PARKERSBURG WV         03/30",-9.22,DEBIT_CARD,303.68,,
DEBIT,03/30/2017,"Wal-Mart Super Cente PARKERSBURG ( WV        03/30",-8.75,DEBIT_CARD,312.90,,
DEBIT,03/30/2017,"KROGER 107 DIVISION ST PARKERSBURG WV500556  03/30",-20.04,DEBIT_CARD,321.65,,
DEBIT,03/30/2017,"TRACFONE    *AIRTIME TRACFONE.COM FL         03/30",-5.00,DEBIT_CARD,341.69,,
DEBIT,03/29/2017,"PAYPAL           INST XFER  GODADDY.COM     WEB ID: PAYPALSI77",-11.76,ACH_DEBIT,346.69,,
DEBIT,03/29/2017,"QUICKEN LOANS    MTG PYMTS  3357858229      WEB ID: 9112356513",-670.35,ACH_DEBIT,358.45,,
DEBIT,03/28/2017,"JCPENNEY 1927 VIENNA WV                      03/27",-25.68,DEBIT_CARD,1028.80,,
DEBIT,03/28/2017,"MCDONALD'S F3615 PARKERSBURG WV              03/27",-2.02,DEBIT_CARD,1054.48,,
DEBIT,03/27/2017,"Payment to Chase card ending in 2079 03/27",-25.00,ACCT_XFER,1056.50,,
DEBIT,03/27/2017,"Online Payment 6105856709 To DOMINION HOPE 03/27",-89.33,BILLPAY,1081.50,,
DEBIT,03/27/2017,"Online Payment 6105855231 To MONONGAHELA POWER 03/27",-183.33,BILLPAY,1170.83,,
DEBIT,03/27/2017,"GOODWILL KV VIENNA 3 VIENNA WV       085497  03/27",-11.20,DEBIT_CARD,1354.16,,
DEBIT,03/27/2017,"KOHLS 1063 189 BOSLEY PARKERSBURG WV 538045  03/27",-21.19,DEBIT_CARD,1365.36,,
DEBIT,03/27/2017,"PAYPAL *NETFLIX.COM 402-935-7733 CA          03/26",-9.99,DEBIT_CARD,1386.55,,
DEBIT,03/27/2017,"DISCOUNT POOL SUPPLY PARKERSBURG WV          03/25",-10.58,DEBIT_CARD,1396.54,,
CREDIT,03/27/2017,"AGRI TREAS 310     FED SAL                  PPD ID: 9101036009",1370.59,ACH_CREDIT,1407.12,,
DEBIT,03/24/2017,"GIHON VILLAGE F PARKERSBURG WV               03/24",-36.70,DEBIT_CARD,36.53,,
DEBIT,03/24/2017,"MCDONALD'S F3615 PARKERSBURG WV              03/23",-4.15,DEBIT_CARD,73.23,,
DSLIP,03/24/2017,"Cash Redemption",23.16,DEPOSIT,77.38,,
DEBIT,03/23/2017,"WM SUPERC Wal-Mart S PARKERSBURG ( WV        03/23",-11.48,DEBIT_CARD,54.22,,
DEBIT,03/23/2017,"DOLLAR-GE 2107 PIKE ST PARKERSBURG WV        03/23",-4.68,DEBIT_CARD,65.70,,
DEBIT,03/23/2017,"MCDONALD'S F2676 PARKERSBURG WV              03/22",-2.13,DEBIT_CARD,70.38,,
DEBIT,03/22/2017,"SLING.COM 888-393-6312 CO                    03/21",-24.99,DEBIT_CARD,72.51,,
DEBIT,03/22/2017,"PAT CATANS 34 PARKERSB PARKERSBURG WV560489  03/22",-6.61,DEBIT_CARD,97.50,,
DEBIT,03/22/2017,"TRACFONE    *AIRTIME TRACFONE.COM FL         03/22",-10.86,DEBIT_CARD,104.11,,
DEBIT,03/21/2017,"FAMILY CHR#04800000489 PARKERSBURG WV        03/20",-9.73,DEBIT_CARD,114.97,,
DEBIT,03/21/2017,"MCDONALD'S F2676 PARKERSBURG WV              03/20",-7.24,DEBIT_CARD,124.70,,
DEBIT,03/21/2017,"CRICUT 877-343-2881 UT                       03/19",-9.99,DEBIT_CARD,131.94,,
DEBIT,03/20/2017,"CBS ALL ACCESS 888-274-5343 CA               03/19",-9.99,DEBIT_CARD,141.93,,
DEBIT,03/20/2017,"SQ *KASE'S CANDIES Vienna WV                 03/18",-12.33,DEBIT_CARD,151.92,,
DEBIT,03/20/2017,"THE ORIGINAL PIZZA PLAC VIENNA WV            03/18",-11.34,DEBIT_CARD,164.25,,
DEBIT,03/17/2017,"OLLIES BARGAIN OUTLET PARKERSBURG WV 816783  03/17",-6.42,DEBIT_CARD,175.59,,
DEBIT,03/17/2017,"Wal-Mart Super Cente PARKERSBURG ( WV        03/17",-29.07,DEBIT_CARD,182.01,,
DEBIT,03/17/2017,"FAMILY DOLLAR #0715 PARKERSBURG WV           03/16",-1.07,DEBIT_CARD,211.08,,
DEBIT,03/17/2017,"MCDONALD'S F3615 PARKERSBURG WV              03/16",-2.02,DEBIT_CARD,212.15,,
DEBIT,03/16/2017,"Lowes CC         LWS EPAY   1271895765      WEB ID: 9069872103",-26.00,ACH_DEBIT,214.17,,
DEBIT,03/16/2017,"WalMart CC       WM EPAY    1271894887      WEB ID: 9069872103",-35.00,ACH_DEBIT,240.17,,
DEBIT,03/16/2017,"BARCLAYCARD US   CREDITCARD 441420630       WEB ID: 2510407970",-65.00,ACH_DEBIT,275.17,,
DEBIT,03/16/2017,"MOTORISTS INSURA INS PREM                   PPD ID: 1314259550",-227.01,ACH_DEBIT,340.17,,
DEBIT,03/16/2017,"CAPITAL ONE AUTO CARPAY     006207526344001 WEB ID: 9541719806",-312.62,ACH_DEBIT,567.18,,
DEBIT,03/16/2017,"PAT CATANS 34 PARKERSB PARKERSBURG WV216785  03/16",-18.94,DEBIT_CARD,879.80,,
DEBIT,03/16/2017,"Wal-Mart Super Cente PARKERSBURG ( WV        03/16",-13.23,DEBIT_CARD,898.74,,
DEBIT,03/16/2017,"TRACFONE    *AIRTIME TRACFONE.COM FL         03/16",-10.86,DEBIT_CARD,911.97,,
DEBIT,03/16/2017,"WENDY'S #4103 PARKERSBURG WV                 03/15",-10.14,DEBIT_CARD,922.83,,
DEBIT,03/16/2017,"WAL-MART #2823 PARKERSBURG WV                03/15",-41.16,DEBIT_CARD,932.97,,
DEBIT,03/15/2017,"CAPITAL ONE      ONLINE PMT 707439919182256 WEB ID: 9279744991",-25.00,ACH_DEBIT,974.13,,
DEBIT,03/15/2017,"CAPITAL ONE      ONLINE PMT 707439919182257 WEB ID: 9279744991",-350.00,ACH_DEBIT,999.13,,
DEBIT,03/15/2017,"PAT CATANS 34 PARKERSB PARKERSBURG WV730018  03/15",-17.23,DEBIT_CARD,1349.13,,
DEBIT,03/15/2017,"Online Payment 6077355734 To City of Parkersburg 03/15",-24.83,BILLPAY,1366.36,,
DEBIT,03/15/2017,"Online Payment 6077355717 To PARKERSBURG UTILITY WV 03/15",-121.88,BILLPAY,1391.19,,
DEBIT,03/15/2017,"SMARTSTYLE PARKERSBURG WV                    03/14",-39.95,DEBIT_CARD,1513.07,,
DEBIT,03/15/2017,"MCDONALD'S F2921 LANCASTER OH                03/14",-9.63,DEBIT_CARD,1553.02,,
DEBIT,03/14/2017,"HOBBYLOBBY 1428 RIVER LANCASTER OH   934922  03/14",-30.89,DEBIT_CARD,1562.65,,
DEBIT,03/14/2017,"FIVE BELOW 509 COLUMBUS OH                   03/13",-20.75,DEBIT_CARD,1593.54,,
DEBIT,03/14/2017,"MICHAELS STORES 9876 COLUMBUS OH             03/13",-27.80,DEBIT_CARD,1614.29,,
DEBIT,03/14/2017,"BLIZZARD ENT*WOW SUB BLIZZARD.COM CA         03/13",-14.99,DEBIT_CARD,1642.09,,
DEBIT,03/13/2017,"HLU*Hulu 42716429-U HULU.COM/BILL CA         03/12",-20.98,DEBIT_CARD,1657.08,,
DEBIT,03/13/2017,"MCDONALD'S F3615 PARKERSBURG WV              03/12",-2.02,DEBIT_CARD,1678.06,,
DEBIT,03/13/2017,"AUNTIE ANNS PRETZE PARKERSBURG OH            03/11",-4.27,DEBIT_CARD,1680.08,,
DEBIT,03/13/2017,"THE ORIGINAL PIZZA PLAC VIENNA WV            03/11",-15.98,DEBIT_CARD,1684.35,,
DEBIT,03/13/2017,"DOLLAR TR 220 GIHON VL PARKERSBURG WV        03/11",-5.21,DEBIT_CARD,1700.33,,
CREDIT,03/13/2017,"AGRI TREAS 310     FED SAL                  PPD ID: 9101036009",1654.94,ACH_CREDIT,1705.54,,
DEBIT,03/10/2017,"BLIZZARD ENT*WOW SUB BLIZZARD.COM CA         03/10",-14.99,DEBIT_CARD,50.60,,
DEBIT,03/08/2017,"BURGER KING #12920 PARKERSBURG WV            03/07",-2.45,DEBIT_CARD,65.59,,
DEBIT,03/07/2017,"KOHL'S DEPT STRS CHG PYMT   043000099729496 WEB ID: 9044021343",-27.00,ACH_DEBIT,68.04,,
DEBIT,03/07/2017,"OLLIES BARGAIN OUTLET PARKERSBURG WV 980564  03/07",-19.24,DEBIT_CARD,95.04,,
DEBIT,03/07/2017,"WM SUPERC Wal-Mart S PARKERSBURG ( WV        03/07",-6.42,DEBIT_CARD,114.28,,
DEBIT,03/06/2017,"CABELAS VISA     PAYMENTS                   WEB ID: 2470839081",-75.00,ACH_DEBIT,120.70,,
DEBIT,03/06/2017,"DISCOUNT POOL SUPPLY PARKERSBURG WV          03/04",-5.29,DEBIT_CARD,195.70,,
DEBIT,03/06/2017,"DOLLAR TR 130 PARK CEN PARKERSBURG WV        03/04",-5.07,DEBIT_CARD,200.99,,
DEBIT,03/06/2017,"MOTHER EARTH FO PARKERSBURG WV               03/04",-43.95,DEBIT_CARD,206.06,,
DEBIT,03/06/2017,"MCDONALD'S F3615 PARKERSBURG WV              03/04",-0.15,DEBIT_CARD,250.01,,
DEBIT,03/03/2017,"MCDONALD'S F2676 PARKERSBURG WV              03/02",-2.13,DEBIT_CARD,250.16,,
DEBIT,03/02/2017,"PAYPAL           INST XFER  GODADDY.COM     WEB ID: PAYPALSI77",-11.76,ACH_DEBIT,252.29,,
DEBIT,03/02/2017,"QUICKEN LOANS    MTG PYMTS  3357858229      WEB ID: 9112356513",-670.35,ACH_DEBIT,264.05,,
DEBIT,03/02/2017,"KOHLS 1063 189 BOSLEY PARKERSBURG WV 123281  03/02",-26.34,DEBIT_CARD,934.40,,
DEBIT,03/02/2017,"PAT CATANS 34 PARKERSB PARKERSBURG WV921192  03/02",-6.36,DEBIT_CARD,960.74,,
DEBIT,03/01/2017,"KOHLS 1063 189 BOSLEY PARKERSBURG WV 708794  03/01",-78.02,DEBIT_CARD,967.10,,
DEBIT,02/28/2017,"Online Payment 6041257632 To DOMINION HOPE 02/28",-92.41,BILLPAY,1045.12,,
DEBIT,02/28/2017,"Online Payment 6041257644 To MONONGAHELA POWER 02/28",-173.05,BILLPAY,1137.53,,
DEBIT,02/28/2017,"Payment to Chase card ending in 2079 02/28",-25.00,ACCT_XFER,1310.58,,
DEBIT,02/28/2017,"Wal-Mart Super Cente PARKERSBURG ( WV        02/28 Purchase $11.80 Cash Back $20.00",-31.80,DEBIT_CARD,1335.58,,
DEBIT,02/28/2017,"Online Transfer 6040099455 to One Community FCU ####9000 transaction #: 6040099455 02/28",-2000.00,ACCT_XFER,1367.38,,
DEBIT,02/27/2017,"MEDEXPRESS UC WV 304-2252500 WV              02/26",-10.00,DEBIT_CARD,3367.38,,
DEBIT,02/27/2017,"BATH & BODY WORKS 0519 PARKERSBURG WV599663  02/27",-38.52,DEBIT_CARD,3377.38,,
DEBIT,02/27/2017,"PAYPAL *NETFLIX.COM 402-935-7733 CA          02/26",-9.99,DEBIT_CARD,3415.90,,
DEBIT,02/27/2017,"THE ORIGINAL PIZZA PLAC VIENNA WV            02/25",-13.03,DEBIT_CARD,3425.89,,
CREDIT,02/27/2017,"AGRI TREAS 310     FED SAL                  PPD ID: 9101036009",1370.59,ACH_CREDIT,3438.92,,
DSLIP,02/27/2017,"REMOTE ONLINE DEPOSIT #          1",2025.00,CHECK_DEPOSIT,2068.33,1,
DEBIT,02/24/2017,"DOLLAR TR 220 GIHON VL PARKERSBURG WV        02/24",-8.21,DEBIT_CARD,43.33,,
DEBIT,02/24/2017,"DOLLAR TR 220 GIHON VL PARKERSBURG WV        02/24",-6.21,DEBIT_CARD,51.54,,
DEBIT,02/23/2017,"PAYPAL           INST XFER  MICROSOFTCO     WEB ID: PAYPALSI77",-53.49,ACH_DEBIT,57.75,,
DEBIT,02/22/2017,"SLING.COM 888-393-6312 CO                    02/21",-24.99,DEBIT_CARD,111.24,,
DEBIT,02/22/2017,"PAYPAL *JULIIIAIDEN 402-935-7733 CA          02/21",-4.99,DEBIT_CARD,136.23,,
DEBIT,02/21/2017,"CAPITAL ONE      ONLINE PMT 704939919287083 WEB ID: 9279744991",-8.40,ACH_DEBIT,141.22,,
DEBIT,02/21/2017,"CBS ALL ACCESS 888-274-5343 CA               02/19",-9.99,DEBIT_CARD,149.62,,
DEBIT,02/21/2017,"Lowes CC         LWS EPAY   1253025033      WEB ID: 9069872103",-28.00,ACH_DEBIT,159.61,,
DEBIT,02/21/2017,"PAYMENT FOR AMZ  STORECARD  1253025538      WEB ID: 9069872103",-35.00,ACH_DEBIT,187.61,,
DEBIT,02/21/2017,"THE ORIGINAL PIZZA PLAC VIENNA WV            02/20",-8.39,DEBIT_CARD,222.61,,
DEBIT,02/21/2017,"CRICUT 877-343-2881 UT                       02/19",-9.99,DEBIT_CARD,231.00,,
DEBIT,02/21/2017,"BURGER KING #12920 PARKERSBURG WV            02/19",-3.73,DEBIT_CARD,240.99,,
DEBIT,02/21/2017,"TRACFONE    *AIRTIME TRACFONE.COM FL         02/19",-10.86,DEBIT_CARD,244.72,,
DEBIT,02/17/2017,"MCDONALD'S F3615 PARKERSBURG WV              02/16",-2.02,DEBIT_CARD,255.58,,
DEBIT,02/16/2017,"MOTORISTS INSURA INS PREM                   PPD ID: 1314259550",-227.01,ACH_DEBIT,257.60,,
DEBIT,02/16/2017,"DOLLAR-GE 2107 PIKE ST PARKERSBURG WV        02/16",-5.73,DEBIT_CARD,484.61,,
DEBIT,02/15/2017,"WVU PARKERSBURG PARKERSBURG WV               02/14",-2025.00,DEBIT_CARD,490.34,,
DEBIT,02/15/2017,"NEW CHINA PARKERSBURG WV                     02/13",-20.06,DEBIT_CARD,2515.34,,
DEBIT,02/14/2017,"KOHL'S DEPT STRS CHG PYMT   043000096652138 WEB ID: 9044021343",-27.00,ACH_DEBIT,2535.40,,
DEBIT,02/14/2017,"WalMart CC       WM EPAY    1248848145      WEB ID: 9069872103",-40.00,ACH_DEBIT,2562.40,,
DEBIT,02/14/2017,"BARCLAYCARD US   CREDITCARD 433958671       WEB ID: 2510407970",-46.89,ACH_DEBIT,2602.40,,
DEBIT,02/14/2017,"CAPITAL ONE AUTO CARPAY     006207526344001 WEB ID: 9541719806",-312.62,ACH_DEBIT,2649.29,,
DEBIT,02/14/2017,"SHELL OIL 57444964100 PARKERSBURG WV         02/13",-15.00,DEBIT_CARD,2961.91,,
DEBIT,02/14/2017,"MCDONALD'S F3615 PARKERSBURG WV              02/13",-3.30,DEBIT_CARD,2976.91,,
DEBIT,02/13/2017,"HLU*Hulu 42716429-U HULU.COM/BILL CA         02/12",-20.98,DEBIT_CARD,2980.21,,
DEBIT,02/13/2017,"PAYPAL           INST XFER  ZINC65LI        WEB ID: PAYPALSI77",-20.99,ACH_DEBIT,3001.19,,
DEBIT,02/13/2017,"CAPITAL ONE      ONLINE PMT 704439919616086 WEB ID: 9279744991",-25.00,ACH_DEBIT,3022.18,,
DEBIT,02/13/2017,"CAPITAL ONE      ONLINE PMT 704439919616085 WEB ID: 9279744991",-25.00,ACH_DEBIT,3047.18,,
DEBIT,02/13/2017,"DOLLAR-GE 2107 PIKE ST PARKERSBURG WV        02/13",-10.44,DEBIT_CARD,3072.18,,
DEBIT,02/13/2017,"TRACTOR SUPPLY # 101 T PARKERSBURG WV721018  02/13",-15.89,DEBIT_CARD,3082.62,,
DEBIT,02/13/2017,"BLIZZARD ENT*WOW SUB BLIZZARD.COM CA         02/13",-14.99,DEBIT_CARD,3098.51,,
DEBIT,02/13/2017,"WM SUPERC Wal-Mart S PARKERSBURG ( WV        02/12",-11.98,DEBIT_CARD,3113.50,,
DEBIT,02/13/2017,"Wal-Mart Super Cente PARKERSBURG ( WV        02/12",-49.78,DEBIT_CARD,3125.48,,
DEBIT,02/13/2017,"MCDONALD'S F3615 PARKERSBURG WV              02/12",-2.02,DEBIT_CARD,3175.26,,
DEBIT,02/13/2017,"WM SUPERC Wal-Mart S PARKERSBURG ( WV        02/11",-148.98,DEBIT_CARD,3177.28,,
DEBIT,02/13/2017,"MCDONALD'S F3615 PARKERSBURG WV              02/10",-8.31,DEBIT_CARD,3326.26,,
DEBIT,02/13/2017,"FIREHOUSE SUBS #73 301-893-9782 WV           02/10",-26.29,DEBIT_CARD,3334.57,,
CREDIT,02/13/2017,"AGRI TREAS 310     FED SAL                  PPD ID: 9101036009",1312.14,ACH_CREDIT,3360.86,,
DEBIT,02/10/2017,"BLIZZARD ENT*WOW SUB BLIZZARD.COM CA         02/09",-14.99,DEBIT_CARD,2048.72,,
DEBIT,02/09/2017,"142 GARY PETTY MD MARIETTA OH                02/08",-30.00,DEBIT_CARD,2063.71,,
DEBIT,02/08/2017,"1875 Great Clips at Ma PARKERSBURG WV        02/07",-19.00,DEBIT_CARD,2093.71,,
DEBIT,02/08/2017,"CHICK-FIL-A #00629 PARKERSBURG WV            02/06",-23.76,DEBIT_CARD,2112.71,,
DSLIP,02/08/2017,"REMOTE ONLINE DEPOSIT #          1",1031.25,CHECK_DEPOSIT,2136.47,1,
DEBIT,02/07/2017,"PAYPAL           INST XFER  1800CPAP        WEB ID: PAYPALSI77",-7.95,ACH_DEBIT,1105.22,,
DEBIT,02/07/2017,"Wal-Mart Super Cente PARKERSBURG ( WV        02/07",-16.26,DEBIT_CARD,1113.17,,
DEBIT,02/07/2017,"SQ *KASE'S CANDIES Vienna WV                 02/06",-7.04,DEBIT_CARD,1129.43,,
DEBIT,02/07/2017,"THE PIZZA PLACE SOUTH PARKERSBURG WV         02/06",-10.90,DEBIT_CARD,1136.47,,
DEBIT,02/07/2017,"MCDONALD'S F3615 PARKERSBURG WV              02/06",-2.02,DEBIT_CARD,1147.37,,
DEBIT,02/07/2017,"MEDEXPRESS UC S PARKER PARKERSBURG WV        02/06",-25.00,DEBIT_CARD,1149.39,,
